day,site,species,attacks
1,46,serpa,0
1,47,serpa,0
1,48,serpa,0
1,49,serpa,1
1,50,serpa,0
1,51,serpa,0
1,52,serpa,0
1,53,serpa,0
1,54,serpa,0
1,55,serpa,1
1,56,serpa,1
1,57,serpa,0
1,58,serpa,0
1,59,serpa,0
1,60,serpa,1
1,61,serpa,0
1,62,serpa,0
1,63,serpa,0
1,64,serpa,0
1,65,serpa,0
1,66,serpa,1
1,67,serpa,0
1,68,serpa,0
1,69,serpa,0
1,70,serpa,0
1,71,serpa,0
1,72,serpa,0
1,73,serpa,0
1,74,serpa,0
1,75,serpa,0
1,76,serpa,0
1,77,serpa,0
1,78,serpa,1
1,79,serpa,0
1,80,serpa,1
1,81,serpa,1
1,82,serpa,1
1,83,serpa,0
1,84,serpa,0
1,85,serpa,1
1,86,serpa,1
1,87,serpa,0
1,88,serpa,0
1,89,serpa,0
1,90,serpa,0
1,91,serpa,1
1,92,serpa,0
1,93,serpa,0
1,94,serpa,1
1,95,serpa,0
1,96,serpa,0
1,97,serpa,0
1,98,serpa,0
1,99,serpa,0
1,100,serpa,0
2,1,evarete,0
2,2,evarete,0
2,3,evarete,0
2,4,evarete,0
2,5,evarete,0
2,6,evarete,0
2,7,evarete,0
2,8,evarete,1
2,9,evarete,0
2,10,evarete,1
2,11,evarete,0
2,12,evarete,0
2,13,evarete,0
2,14,evarete,0
2,15,evarete,0
2,16,evarete,0
2,17,evarete,0
2,18,evarete,0
2,19,evarete,0
2,20,evarete,0
2,21,evarete,0
2,22,evarete,0
2,23,evarete,1
2,24,evarete,0
2,25,evarete,0
2,26,evarete,0
2,27,evarete,0
2,28,evarete,0
2,29,evarete,0
2,30,evarete,0
2,31,evarete,0
2,32,evarete,0
2,33,evarete,0
2,34,evarete,0
2,35,evarete,0
2,36,evarete,0
2,37,evarete,0
2,38,evarete,0
2,39,evarete,0
2,40,evarete,0
2,41,evarete,0
2,42,evarete,0
2,43,evarete,0
2,44,evarete,0
2,45,evarete,0
2,46,evarete,1
2,47,evarete,0
2,48,evarete,0
2,49,evarete,0
2,50,evarete,0
2,51,evarete,0
2,52,evarete,0
2,53,evarete,1
2,54,evarete,0
2,55,evarete,0
2,56,evarete,1
2,57,evarete,0
2,58,evarete,0
2,59,evarete,0
2,60,evarete,0
2,61,evarete,0
2,62,evarete,1
2,63,evarete,0
2,64,evarete,0
2,65,evarete,0
2,66,evarete,0
2,67,evarete,0
2,68,evarete,0
2,69,evarete,0
2,70,evarete,1
2,71,evarete,0
2,72,evarete,0
2,73,evarete,0
2,74,evarete,0
2,75,evarete,0
2,76,evarete,0
2,77,evarete,0
2,78,evarete,0
2,79,evarete,0
2,80,evarete,0
2,81,evarete,1
2,82,evarete,1
2,83,evarete,0
2,84,evarete,0
2,85,evarete,0
2,86,evarete,1
2,87,evarete,0
2,88,evarete,0
2,89,evarete,0
2,90,evarete,0
2,91,evarete,0
2,92,evarete,0
2,93,evarete,0
2,94,evarete,0
2,95,evarete,0
2,96,evarete,1
2,97,evarete,0
2,98,evarete,0
2,99,evarete,0
2,100,evarete,0
2,1,iphiclus,0
2,2,iphiclus,0
2,3,iphiclus,0
2,4,iphiclus,0
2,5,iphiclus,0
2,6,iphiclus,0
2,7,iphiclus,0
2,8,iphiclus,0
2,9,iphiclus,0
2,10,iphiclus,0
2,11,iphiclus,0
2,12,iphiclus,0
2,13,iphiclus,0
2,14,iphiclus,0
2,15,iphiclus,0
2,16,iphiclus,0
2,17,iphiclus,0
2,18,iphiclus,0
2,19,iphiclus,1
2,20,iphiclus,0
2,21,iphiclus,0
2,22,iphiclus,0
2,23,iphiclus,0
2,24,iphiclus,0
2,25,iphiclus,0
2,26,iphiclus,0
2,27,iphiclus,0
2,28,iphiclus,0
2,29,iphiclus,0
2,30,iphiclus,0
2,31,iphiclus,1
2,32,iphiclus,0
2,33,iphiclus,0
2,34,iphiclus,0
2,35,iphiclus,0
2,36,iphiclus,0
2,37,iphiclus,0
2,38,iphiclus,0
2,39,iphiclus,0
2,40,iphiclus,0
2,41,iphiclus,0
2,42,iphiclus,0
2,43,iphiclus,0
2,44,iphiclus,0
2,45,iphiclus,0
2,46,iphiclus,0
2,47,iphiclus,0
2,48,iphiclus,0
2,49,iphiclus,0
2,50,iphiclus,0
2,51,iphiclus,0
2,52,iphiclus,0
2,53,iphiclus,1
2,54,iphiclus,0
2,55,iphiclus,0
2,56,iphiclus,0
2,57,iphiclus,0
2,58,iphiclus,0
2,59,iphiclus,0
2,60,iphiclus,0
2,61,iphiclus,0
2,62,iphiclus,0
2,63,iphiclus,0
2,64,iphiclus,0
2,65,iphiclus,0
2,66,iphiclus,0
2,67,iphiclus,0
2,68,iphiclus,0
2,69,iphiclus,0
2,70,iphiclus,1
2,71,iphiclus,0
2,72,iphiclus,0
2,73,iphiclus,0
2,74,iphiclus,0
2,75,iphiclus,0
2,76,iphiclus,0
2,77,iphiclus,0
2,78,iphiclus,0
2,79,iphiclus,0
2,80,iphiclus,1
2,81,iphiclus,0
2,82,iphiclus,0
2,83,iphiclus,0
2,84,iphiclus,0
2,85,iphiclus,0
2,86,iphiclus,0
2,87,iphiclus,0
2,88,iphiclus,0
2,89,iphiclus,0
2,90,iphiclus,0
2,91,iphiclus,1
2,92,iphiclus,0
2,93,iphiclus,0
2,94,iphiclus,0
2,95,iphiclus,0
2,96,iphiclus,0
2,97,iphiclus,0
2,98,iphiclus,0
2,99,iphiclus,0
2,100,iphiclus,0
2,1,leucopthalma,0
2,2,leucopthalma,0
2,3,leucopthalma,0
2,4,leucopthalma,0
2,5,leucopthalma,0
2,6,leucopthalma,0
2,7,leucopthalma,0
2,8,leucopthalma,0
2,9,leucopthalma,0
2,10,leucopthalma,0
2,11,leucopthalma,0
2,12,leucopthalma,0
2,13,leucopthalma,0
2,14,leucopthalma,0
2,15,leucopthalma,0
2,16,leucopthalma,0
2,17,leucopthalma,0
2,18,leucopthalma,0
2,19,leucopthalma,0
2,20,leucopthalma,0
2,21,leucopthalma,0
2,22,leucopthalma,0
2,23,leucopthalma,0
2,24,leucopthalma,1
2,25,leucopthalma,0
2,26,leucopthalma,0
2,27,leucopthalma,0
2,28,leucopthalma,0
2,29,leucopthalma,0
2,30,leucopthalma,0
2,31,leucopthalma,0
2,32,leucopthalma,0
2,33,leucopthalma,0
2,34,leucopthalma,0
2,35,leucopthalma,0
2,36,leucopthalma,0
2,37,leucopthalma,0
2,38,leucopthalma,0
2,39,leucopthalma,0
2,40,leucopthalma,0
2,41,leucopthalma,0
2,42,leucopthalma,0
2,43,leucopthalma,0
2,44,leucopthalma,0
2,45,leucopthalma,0
2,46,leucopthalma,0
2,47,leucopthalma,0
2,48,leucopthalma,0
2,49,leucopthalma,0
2,50,leucopthalma,0
2,51,leucopthalma,0
2,52,leucopthalma,0
2,53,leucopthalma,0
2,54,leucopthalma,0
2,55,leucopthalma,0
2,56,leucopthalma,1
2,57,leucopthalma,1
2,58,leucopthalma,0
2,59,leucopthalma,1
2,60,leucopthalma,0
2,61,leucopthalma,0
2,62,leucopthalma,0
2,63,leucopthalma,0
2,64,leucopthalma,0
2,65,leucopthalma,1
2,66,leucopthalma,1
2,67,leucopthalma,0
2,68,leucopthalma,0
2,69,leucopthalma,0
2,70,leucopthalma,0
2,71,leucopthalma,0
2,72,leucopthalma,0
2,73,leucopthalma,0
2,74,leucopthalma,1
2,75,leucopthalma,0
2,76,leucopthalma,0
2,77,leucopthalma,0
2,78,leucopthalma,0
2,79,leucopthalma,1
2,80,leucopthalma,0
2,81,leucopthalma,0
2,82,leucopthalma,1
2,83,leucopthalma,0
2,84,leucopthalma,0
2,85,leucopthalma,0
2,86,leucopthalma,0
2,87,leucopthalma,0
2,88,leucopthalma,0
2,89,leucopthalma,0
2,90,leucopthalma,0
2,91,leucopthalma,0
2,92,leucopthalma,0
2,93,leucopthalma,0
2,94,leucopthalma,0
2,95,leucopthalma,0
2,96,leucopthalma,0
2,97,leucopthalma,0
2,98,leucopthalma,0
2,99,leucopthalma,1
2,100,leucopthalma,0
2,1,serpa,0
2,2,serpa,0
2,3,serpa,0
2,4,serpa,0
2,5,serpa,0
2,6,serpa,1
2,7,serpa,0
2,8,serpa,1
2,9,serpa,0
2,10,serpa,0
2,11,serpa,0
2,12,serpa,0
2,13,serpa,0
2,14,serpa,0
2,15,serpa,0
2,16,serpa,0
2,17,serpa,0
2,18,serpa,0
2,19,serpa,1
2,20,serpa,0
2,21,serpa,0
2,22,serpa,1
2,23,serpa,0
2,24,serpa,0
2,25,serpa,0
2,26,serpa,0
2,27,serpa,0
2,28,serpa,1
2,29,serpa,0
2,30,serpa,1
2,31,serpa,0
2,32,serpa,0
2,33,serpa,0
2,34,serpa,0
2,35,serpa,0
2,36,serpa,0
2,37,serpa,0
2,38,serpa,0
2,39,serpa,1
2,40,serpa,0
2,41,serpa,0
2,42,serpa,0
2,43,serpa,0
2,44,serpa,0
2,45,serpa,0
2,46,serpa,0
2,47,serpa,0
2,48,serpa,0
2,49,serpa,0
2,50,serpa,0
2,51,serpa,0
2,52,serpa,0
2,53,serpa,0
2,54,serpa,0
2,55,serpa,0
2,56,serpa,0
2,57,serpa,0
2,58,serpa,0
2,59,serpa,0
2,60,serpa,0
2,61,serpa,0
2,62,serpa,0
2,63,serpa,0
2,64,serpa,0
2,65,serpa,0
2,66,serpa,0
2,67,serpa,0
2,68,serpa,0
2,69,serpa,0
2,70,serpa,1
2,71,serpa,0
2,72,serpa,0
2,73,serpa,0
2,74,serpa,0
2,75,serpa,0
2,76,serpa,1
2,77,serpa,0
2,78,serpa,1
2,79,serpa,0
2,80,serpa,0
2,81,serpa,0
2,82,serpa,0
2,83,serpa,1
2,84,serpa,1
2,85,serpa,0
2,86,serpa,0
2,87,serpa,0
2,88,serpa,0
2,89,serpa,0
2,90,serpa,0
2,91,serpa,0
2,92,serpa,0
2,93,serpa,0
2,94,serpa,1
2,95,serpa,0
2,96,serpa,0
2,97,serpa,0
2,98,serpa,0
2,99,serpa,0
2,100,serpa,0
3,1,evarete,0
3,2,evarete,0
3,3,evarete,0
3,4,evarete,0
3,5,evarete,0
3,6,evarete,0
3,7,evarete,0
3,8,evarete,0
3,9,evarete,1
3,10,evarete,0
3,11,evarete,0
3,12,evarete,0
3,13,evarete,0
3,14,evarete,0
3,15,evarete,0
3,16,evarete,0
3,17,evarete,0
3,18,evarete,0
3,19,evarete,1
3,20,evarete,0
3,21,evarete,0
3,22,evarete,1
3,23,evarete,1
3,24,evarete,0
3,25,evarete,0
3,26,evarete,1
3,27,evarete,0
3,28,evarete,1
3,29,evarete,0
3,30,evarete,0
3,31,evarete,0
3,32,evarete,1
3,33,evarete,0
3,34,evarete,1
3,35,evarete,0
3,36,evarete,0
3,37,evarete,0
3,38,evarete,0
3,39,evarete,0
3,40,evarete,0
3,41,evarete,0
3,42,evarete,0
3,43,evarete,0
3,44,evarete,0
3,45,evarete,0
3,46,evarete,0
3,47,evarete,0
3,48,evarete,0
3,49,evarete,0
3,50,evarete,0
3,51,evarete,0
3,52,evarete,0
3,53,evarete,0
3,54,evarete,0
3,55,evarete,0
3,56,evarete,0
3,57,evarete,0
3,58,evarete,0
3,59,evarete,0
3,60,evarete,1
3,61,evarete,0
3,62,evarete,0
3,63,evarete,0
3,64,evarete,0
3,65,evarete,0
3,66,evarete,0
3,67,evarete,0
3,68,evarete,0
3,69,evarete,0
3,70,evarete,0
3,71,evarete,1
3,72,evarete,0
3,73,evarete,0
3,74,evarete,0
3,75,evarete,0
3,76,evarete,0
3,77,evarete,0
3,78,evarete,0
3,79,evarete,1
3,80,evarete,0
3,81,evarete,0
3,82,evarete,1
3,83,evarete,0
3,84,evarete,0
3,85,evarete,0
3,86,evarete,0
3,87,evarete,0
3,88,evarete,0
3,89,evarete,0
3,90,evarete,0
3,91,evarete,0
3,92,evarete,0
3,93,evarete,0
3,94,evarete,0
3,95,evarete,0
3,96,evarete,0
3,97,evarete,0
3,98,evarete,0
3,99,evarete,0
3,100,evarete,0
3,1,iphiclus,0
3,2,iphiclus,0
3,3,iphiclus,0
3,4,iphiclus,0
3,5,iphiclus,0
3,6,iphiclus,0
3,7,iphiclus,0
3,8,iphiclus,0
3,9,iphiclus,0
3,10,iphiclus,0
3,11,iphiclus,0
3,12,iphiclus,0
3,13,iphiclus,0
3,14,iphiclus,0
3,15,iphiclus,0
3,16,iphiclus,0
3,17,iphiclus,0
3,18,iphiclus,0
3,19,iphiclus,0
3,20,iphiclus,0
3,21,iphiclus,0
3,22,iphiclus,0
3,23,iphiclus,0
3,24,iphiclus,0
3,25,iphiclus,0
3,26,iphiclus,0
3,27,iphiclus,0
3,28,iphiclus,0
3,29,iphiclus,0
3,30,iphiclus,0
3,31,iphiclus,0
3,32,iphiclus,0
3,33,iphiclus,1
3,34,iphiclus,0
3,35,iphiclus,0
3,36,iphiclus,0
3,37,iphiclus,0
3,38,iphiclus,0
3,39,iphiclus,0
3,40,iphiclus,0
3,41,iphiclus,0
3,42,iphiclus,0
3,43,iphiclus,0
3,44,iphiclus,0
3,45,iphiclus,0
3,46,iphiclus,0
3,47,iphiclus,0
3,48,iphiclus,1
3,49,iphiclus,0
3,50,iphiclus,0
3,51,iphiclus,0
3,52,iphiclus,0
3,53,iphiclus,0
3,54,iphiclus,0
3,55,iphiclus,0
3,56,iphiclus,0
3,57,iphiclus,0
3,58,iphiclus,0
3,59,iphiclus,0
3,60,iphiclus,0
3,61,iphiclus,0
3,62,iphiclus,0
3,63,iphiclus,0
3,64,iphiclus,0
3,65,iphiclus,1
3,66,iphiclus,0
3,67,iphiclus,0
3,68,iphiclus,0
3,69,iphiclus,0
3,70,iphiclus,0
3,71,iphiclus,0
3,72,iphiclus,0
3,73,iphiclus,0
3,74,iphiclus,0
3,75,iphiclus,0
3,76,iphiclus,0
3,77,iphiclus,0
3,78,iphiclus,1
3,79,iphiclus,0
3,80,iphiclus,0
3,81,iphiclus,0
3,82,iphiclus,0
3,83,iphiclus,0
3,84,iphiclus,0
3,85,iphiclus,0
3,86,iphiclus,0
3,87,iphiclus,0
3,88,iphiclus,0
3,89,iphiclus,0
3,90,iphiclus,0
3,91,iphiclus,0
3,92,iphiclus,0
3,93,iphiclus,0
3,94,iphiclus,0
3,95,iphiclus,0
3,96,iphiclus,0
3,97,iphiclus,0
3,98,iphiclus,0
3,99,iphiclus,1
3,100,iphiclus,0
3,1,leucopthalma,0
3,2,leucopthalma,0
3,3,leucopthalma,0
3,4,leucopthalma,0
3,5,leucopthalma,0
3,6,leucopthalma,1
3,7,leucopthalma,0
3,8,leucopthalma,0
3,9,leucopthalma,0
3,10,leucopthalma,0
3,11,leucopthalma,0
3,12,leucopthalma,0
3,13,leucopthalma,0
3,14,leucopthalma,0
3,15,leucopthalma,0
3,16,leucopthalma,0
3,17,leucopthalma,0
3,18,leucopthalma,0
3,19,leucopthalma,0
3,20,leucopthalma,0
3,21,leucopthalma,0
3,22,leucopthalma,0
3,23,leucopthalma,1
3,24,leucopthalma,0
3,25,leucopthalma,0
3,26,leucopthalma,0
3,27,leucopthalma,0
3,28,leucopthalma,0
3,29,leucopthalma,1
3,30,leucopthalma,0
3,31,leucopthalma,0
3,32,leucopthalma,0
3,33,leucopthalma,0
3,34,leucopthalma,0
3,35,leucopthalma,0
3,36,leucopthalma,0
3,37,leucopthalma,0
3,38,leucopthalma,0
3,39,leucopthalma,0
3,40,leucopthalma,0
3,41,leucopthalma,0
3,42,leucopthalma,0
3,43,leucopthalma,0
3,44,leucopthalma,0
3,45,leucopthalma,0
3,46,leucopthalma,0
3,47,leucopthalma,0
3,48,leucopthalma,0
3,49,leucopthalma,0
3,50,leucopthalma,0
3,51,leucopthalma,0
3,52,leucopthalma,0
3,53,leucopthalma,0
3,54,leucopthalma,0
3,55,leucopthalma,0
3,56,leucopthalma,0
3,57,leucopthalma,0
3,58,leucopthalma,0
3,59,leucopthalma,0
3,60,leucopthalma,0
3,61,leucopthalma,0
3,62,leucopthalma,0
3,63,leucopthalma,0
3,64,leucopthalma,0
3,65,leucopthalma,0
3,66,leucopthalma,0
3,67,leucopthalma,0
3,68,leucopthalma,0
3,69,leucopthalma,0
3,70,leucopthalma,0
3,71,leucopthalma,0
3,72,leucopthalma,0
3,73,leucopthalma,0
3,74,leucopthalma,0
3,75,leucopthalma,0
3,76,leucopthalma,1
3,77,leucopthalma,0
3,78,leucopthalma,1
3,79,leucopthalma,0
3,80,leucopthalma,0
3,81,leucopthalma,0
3,82,leucopthalma,1
3,83,leucopthalma,0
3,84,leucopthalma,0
3,85,leucopthalma,0
3,86,leucopthalma,0
3,87,leucopthalma,0
3,88,leucopthalma,0
3,89,leucopthalma,1
3,90,leucopthalma,0
3,91,leucopthalma,0
3,92,leucopthalma,1
3,93,leucopthalma,0
3,94,leucopthalma,0
3,95,leucopthalma,0
3,96,leucopthalma,0
3,97,leucopthalma,0
3,98,leucopthalma,0
3,99,leucopthalma,0
3,100,leucopthalma,0
3,1,serpa,1
3,2,serpa,0
3,3,serpa,0
3,4,serpa,1
3,5,serpa,0
3,6,serpa,0
3,7,serpa,0
3,8,serpa,0
3,9,serpa,1
3,10,serpa,1
3,11,serpa,0
3,12,serpa,0
3,13,serpa,0
3,14,serpa,0
3,15,serpa,0
3,16,serpa,0
3,17,serpa,0
3,18,serpa,0
3,19,serpa,0
3,20,serpa,0
3,21,serpa,0
3,22,serpa,0
3,23,serpa,0
3,24,serpa,0
3,25,serpa,0
3,26,serpa,0
3,27,serpa,1
3,28,serpa,1
3,29,serpa,1
3,30,serpa,0
3,31,serpa,0
3,32,serpa,0
3,33,serpa,0
3,34,serpa,0
3,35,serpa,0
3,36,serpa,0
3,37,serpa,0
3,38,serpa,0
3,39,serpa,0
3,40,serpa,1
3,41,serpa,0
3,42,serpa,0
3,43,serpa,0
3,44,serpa,0
3,45,serpa,0
3,46,serpa,0
3,47,serpa,0
3,48,serpa,0
3,49,serpa,1
3,50,serpa,0
3,51,serpa,0
3,52,serpa,0
3,53,serpa,0
3,54,serpa,0
3,55,serpa,0
3,56,serpa,0
3,57,serpa,0
3,58,serpa,0
3,59,serpa,0
3,60,serpa,0
3,61,serpa,0
3,62,serpa,0
3,63,serpa,0
3,64,serpa,0
3,65,serpa,0
3,66,serpa,0
3,67,serpa,0
3,68,serpa,0
3,69,serpa,0
3,70,serpa,0
3,71,serpa,1
3,72,serpa,0
3,73,serpa,0
3,74,serpa,0
3,75,serpa,0
3,76,serpa,0
3,77,serpa,0
3,78,serpa,0
3,79,serpa,0
3,80,serpa,0
3,81,serpa,0
3,82,serpa,1
3,83,serpa,0
3,84,serpa,0
3,85,serpa,0
3,86,serpa,0
3,87,serpa,0
3,88,serpa,0
3,89,serpa,0
3,90,serpa,0
3,91,serpa,0
3,92,serpa,0
3,93,serpa,0
3,94,serpa,0
3,95,serpa,0
3,96,serpa,0
3,97,serpa,0
3,98,serpa,0
3,99,serpa,0
3,100,serpa,0
4,1,evarete,0
4,2,evarete,0
4,3,evarete,0
4,4,evarete,0
4,5,evarete,0
4,6,evarete,0
4,7,evarete,0
4,8,evarete,0
4,9,evarete,0
4,10,evarete,0
4,11,evarete,0
4,12,evarete,0
4,13,evarete,0
4,14,evarete,1
4,15,evarete,0
4,16,evarete,0
4,17,evarete,0
4,18,evarete,0
4,19,evarete,0
4,20,evarete,0
4,21,evarete,0
4,22,evarete,0
4,23,evarete,1
4,24,evarete,1
4,25,evarete,0
4,26,evarete,0
4,27,evarete,1
4,28,evarete,0
4,29,evarete,1
4,30,evarete,0
4,31,evarete,0
4,32,evarete,0
4,33,evarete,0
4,34,evarete,0
4,35,evarete,0
4,36,evarete,0
4,37,evarete,0
4,38,evarete,0
4,39,evarete,0
4,40,evarete,0
4,41,evarete,0
4,42,evarete,0
4,43,evarete,0
4,44,evarete,0
4,45,evarete,0
4,46,evarete,0
4,47,evarete,0
4,48,evarete,0
